Left X , Left Y , Left Z , Left Diameter , Right X , Right Y , Right Z , Right Diameter ,TimeStamp
0.13,0.17,0.41,2.81,0.1,0.16,0.42,3.39,230602675
0.13,0.17,0.41,2.8,0.1,0.16,0.42,3.39,230613778
0.14,0.17,0.41,2.81,0.1,0.17,0.42,3.39,230624881
0.14,0.17,0.41,2.8,0.11,0.17,0.42,3.39,230635984
0.14,0.18,0.41,2.81,0.11,0.17,0.42,3.38,230647087
0.14,0.17,0.41,2.81,0.11,0.18,0.42,3.38,230658191
0.13,0.17,0.41,2.8,0.11,0.17,0.42,3.39,230669294
0.14,0.17,0.41,2.81,0.11,0.17,0.42,3.39,230680397
0.14,0.17,0.41,2.81,0.11,0.16,0.42,3.39,230691500
0.15,0.17,0.41,2.82,0.1,0.17,0.42,3.4,230702603
0.14,0.17,0.41,2.82,0.1,0.16,0.42,3.4,230713706
0.14,0.17,0.42,2.83,0.1,0.16,0.42,3.39,230724809
0.14,0.16,0.42,2.82,0.12,0.16,0.42,3.39,230735912
0.16,0.16,0.42,2.81,0.13,0.16,0.42,3.38,230747016
0.18,0.16,0.42,2.81,0.15,0.16,0.42,3.38,230758119
0.18,0.16,0.42,2.82,0.14,0.16,0.42,3.38,230769222
0.18,0.15,0.42,2.81,0.14,0.16,0.42,3.38,230780325
0.18,0.15,0.42,2.81,0.14,0.16,0.42,3.37,230791428
0.19,0.16,0.42,2.82,0.14,0.16,0.42,3.38,230802531
0.18,0.16,0.42,2.83,0.14,0.16,0.42,3.37,230813634
0.18,0.16,0.42,2.82,0.15,0.17,0.42,3.37,230824737
0.18,0.16,0.42,2.8,0.15,0.16,0.42,3.37,230835841
0.18,0.15,0.42,2.79,0.15,0.17,0.42,3.36,230846944
0.19,0.16,0.42,2.79,0.15,0.18,0.42,3.36,230858047
0.19,0.16,0.41,2.79,0.15,0.17,0.42,3.35,230869150
0.19,0.17,0.41,2.78,0.14,0.16,0.42,3.35,230880253
0.19,0.16,0.41,2.76,0.14,0.15,0.42,3.34,230891356
0.18,0.16,0.41,2.75,0.15,0.17,0.42,3.34,230902459
0.18,0.17,0.41,2.75,0.15,0.17,0.42,3.34,230913562
0.18,0.17,0.41,2.76,0.15,0.17,0.42,3.34,230924666
0.18,0.17,0.41,2.78,0.15,0.17,0.42,3.34,230935769
0.18,0.16,0.41,2.79,0.15,0.18,0.42,3.35,230946872
0.18,0.16,0.41,2.78,0.15,0.18,0.42,3.34,230957975
0.18,0.16,0.41,2.77,0.15,0.18,0.42,3.33,230969078
0.18,0.16,0.41,2.76,0.15,0.17,0.42,3.32,230980181
0.19,0.17,0.41,2.77,0.14,0.17,0.42,3.32,230991284
0.19,0.17,0.41,2.77,0.15,0.16,0.42,3.32,231002387
0.18,0.17,0.41,2.77,0.15,0.16,0.42,3.32,231013491
0.18,0.16,0.42,2.77,0.15,0.16,0.42,3.33,231024594
0.18,0.16,0.42,2.77,0.15,0.16,0.42,3.33,231035697
0.18,0.16,0.42,2.77,0.15,0.16,0.42,3.34,231046800
0.18,0.15,0.42,2.77,0.15,0.16,0.42,3.33,231057903
0.18,0.15,0.42,2.78,0.15,0.15,0.42,3.33,231069006
0.18,0.15,0.42,2.78,0.16,0.16,0.42,3.34,231080109
0.19,0.15,0.42,2.79,0.16,0.16,0.42,3.33,231091212
0.18,0.15,0.42,2.78,0.15,0.17,0.42,3.34,231102316
0.18,0.15,0.42,2.75,0.15,0.17,0.42,3.34,231113419
0.18,0.15,0.42,2.74,0.15,0.17,0.42,3.34,231124522
0.18,0.14,0.42,2.74,0.15,0.17,0.42,3.34,231135625
0.17,0.15,0.42,2.78,0.15,0.17,0.42,3.34,231146728
0.18,0.16,0.42,2.78,0.15,0.17,0.42,3.34,231157831
0.18,0.16,0.42,2.79,0.14,0.16,0.42,3.33,231168934
0.18,0.17,0.41,2.78,0.15,0.16,0.42,3.33,231180037
0.18,0.16,0.41,2.78,0.15,0.16,0.42,3.32,231191141
0.18,0.16,0.41,2.78,0.15,0.17,0.42,3.32,231202244
0.17,0.16,0.41,2.77,0.15,0.16,0.42,3.32,231213347
0.18,0.15,0.41,2.75,0.15,0.16,0.42,3.32,231224450
0.18,0.15,0.41,2.76,0.15,0.18,0.42,3.33,231235553
0.18,0.16,0.41,2.77,0.15,0.17,0.42,3.34,231246656
0.18,0.17,0.41,2.79,0.15,0.17,0.42,3.34,231257759
0.18,0.17,0.41,2.79,0.15,0.17,0.42,3.33,231268862
0.18,0.16,0.42,2.78,0.15,0.18,0.42,3.34,231279966
0.17,0.17,0.42,2.78,0.15,0.18,0.42,3.34,231291069
0.17,0.17,0.42,2.77,0.15,0.18,0.42,3.34,231302172
0.17,0.16,0.42,2.76,0.16,0.18,0.42,3.34,231313275
0.19,0.16,0.42,2.77,0.17,0.19,0.42,3.34,231324378
0.2,0.16,0.42,2.77,0.18,0.19,0.42,3.33,231335481
0.22,0.17,0.41,2.77,0.19,0.19,0.42,3.33,231346584
0.22,0.17,0.41,2.76,0.19,0.19,0.42,3.32,231357687
0.22,0.17,0.41,2.75,0.19,0.18,0.41,3.32,231368791
0.22,0.17,0.41,2.75,0.2,0.19,0.41,3.32,231379894
0.23,0.18,0.41,2.77,0.2,0.19,0.42,3.32,231390997
0.23,0.18,0.41,2.76,0.19,0.19,0.42,3.32,231402100
0.23,0.18,0.41,2.77,0.19,0.19,0.42,3.32,231413203
0.23,0.17,0.41,2.75,0.19,0.19,0.42,3.31,231424306
0.23,0.17,0.41,2.76,0.18,0.19,0.42,3.31,231435409
0.23,0.15,0.41,2.73,0.18,0.19,0.42,3.31,231446512
0.23,0.15,0.41,2.73,0.18,0.19,0.42,3.31,231457616
0.23,0.15,0.41,2.73,0.18,0.2,0.42,3.31,231468719
0.22,0.16,0.42,2.75,0.18,0.2,0.42,3.31,231479822
0.22,0.16,0.42,2.76,0.19,0.2,0.42,3.31,231490925
0.22,0.16,0.42,2.75,0.19,0.21,0.42,3.31,231502028
0.22,0.16,0.42,2.76,0.18,0.2,0.42,3.31,231513131
0.22,0.16,0.42,2.76,0.18,0.2,0.42,3.31,231524234
0.23,0.19,0.42,2.79,0.18,0.2,0.42,3.31,231535337
0.23,0.19,0.42,2.79,0.19,0.2,0.42,3.32,231546441
0.23,0.19,0.42,2.8,0.19,0.2,0.42,3.32,231557544
0.23,0.17,0.42,2.78,0.18,0.2,0.42,3.32,231568647
0.23,0.17,0.42,2.78,0.18,0.2,0.42,3.32,231579750
0.23,0.16,0.42,2.76,0.18,0.2,0.42,3.31,231590853
0.23,0.16,0.42,2.76,0.18,0.2,0.42,3.31,231601956
0.23,0.15,0.42,2.75,0.18,0.2,0.42,3.32,231613059
0.23,0.15,0.42,2.74,0.18,0.2,0.42,3.32,231624162
0.22,0.14,0.42,2.74,0.19,0.19,0.42,3.32,231635266
0.22,0.14,0.42,2.75,0.19,0.19,0.42,3.33,231646369
0.22,0.15,0.42,2.76,0.19,0.19,0.42,3.32,231657472
0.22,0.15,0.42,2.75,0.19,0.19,0.42,3.33,231668575
0.23,0.15,0.42,2.75,0.19,0.19,0.42,3.33,231679678
0.23,0.16,0.42,2.75,0.19,0.19,0.42,3.33,231690781
0.23,0.16,0.42,2.76,0.19,0.19,0.42,3.33,231701884
0.23,0.18,0.42,2.77,0.18,0.18,0.42,3.33,231712987
0.23,0.17,0.42,2.77,0.18,0.18,0.42,3.32,231724091
0.23,0.17,0.42,2.77,0.19,0.19,0.42,3.33,231735194
0.23,0.15,0.42,2.74,0.19,0.19,0.42,3.34,231746297
0.23,0.15,0.42,2.75,0.19,0.19,0.42,3.33,231757400
0.23,0.15,0.42,2.75,0.19,0.19,0.42,3.32,231768503
0.23,0.15,0.42,2.75,0.19,0.18,0.42,3.31,231779606
0.23,0.17,0.42,2.75,0.19,0.18,0.42,3.32,231790709
0.23,0.16,0.42,2.74,0.21,0.18,0.42,3.32,231801812
0.25,0.16,0.42,2.75,0.22,0.18,0.42,3.33,231812916
0.26,0.16,0.42,2.76,0.23,0.18,0.42,3.33,231824019
0.27,0.16,0.42,2.76,0.23,0.18,0.42,3.33,231835122
0.27,0.15,0.42,2.74,0.23,0.19,0.42,3.33,231846225
0.27,0.14,0.42,2.73,0.24,0.19,0.42,3.33,231857328
0.27,0.14,0.42,2.73,0.23,0.18,0.42,3.32,231868431
0.28,0.15,0.42,2.73,0.23,0.18,0.42,3.32,231879534
0.27,0.14,0.42,2.73,0.23,0.18,0.42,3.32,231890637
0.27,0.14,0.42,2.72,0.23,0.18,0.42,3.32,231901741
0.27,0.14,0.42,2.71,0.23,0.18,0.42,3.31,231912844
0.27,0.16,0.42,2.72,0.23,0.18,0.42,3.3,231923947
0.27,0.16,0.42,2.72,0.23,0.18,0.42,3.3,231935050
0.27,0.15,0.42,2.72,0.23,0.19,0.42,3.3,231946153
0.27,0.15,0.42,2.7,0.23,0.19,0.42,3.3,231957256
0.27,0.15,0.42,2.69,0.23,0.19,0.42,3.3,231968359
0.26,0.15,0.42,2.72,0.24,0.19,0.42,3.29,231979462
0.26,0.15,0.42,2.72,0.24,0.19,0.42,3.29,231990566
0.26,0.15,0.42,2.73,0.23,0.18,0.42,3.29,232001669
